aud_id,label
252440,AfricanAmerican
243724,Test Q4 Video 
218365,Jeep
229007,highest level of education 
224781,30up
220325,GMCConquest
220317,GMCRetention
219899,New Car Owners
219311,Internet Marketing_HealthNet_102416
217250,Past Jeep Purchasers
217251,Likely New Vehicle - Jeep
188103,Hispmale1834
188125,Hispmale3564
214157,Women HHI 100K+ - LVMH
211938,HHI75+
188056,QSR
211941,test1
207458,A18-24
201889,W2554
201874,W1849
198699,Gamers
195002,Millennial Women
181636,AllFemale
180420,BFBusiness
180409,RetailBusiness
180423,EntertainmentBusiness
180429,TechBusiness
180434,IndustrialBusiness
181217,FOCR1849
178965,F2539
178639,SmallBiz
178490,Men
178093,Father
176992,NCAA
173616,F2554
173608,A3554
173584,A2134
171930,M2534
171934,M35+
170104,LVCVA_FarMarket_ReTarget
169681,M2454OCR
167581,InMarket_Ford
69215,18-49
153006,vansexposed
158995,Millennial
156076,Millennial #1
155307,LVCVA_LGBT_ReTarget
151945,vans
150048,NYUOrtho_Retarget
146356,FamHouseData_Test
144935,DogOwnerFT
144705,WN 18-24
142987,21up
139917,LVCVA
27354,Auto InMarket
103911,Male
137433,Basketball
136314,F1834
135980,BiographyMovie
135981,MusicEnthusiasts
135979,RandB
135978,RealityTV
135977,DramaMovies
134329,SPNLANG
135309,Dev NYC
135234,SPN1849
131508,JimmDean_4958471
18328,All members
132221,TargetedVictory_AP_NJ
68015,Male 
93132,Male Sports
121394,NotPrego
121391,RaguAlfredo
121817,F1854OCR
124527,Pharm
122203,dafds
81064,F25-54
103908,Female
118186,Fidelity_VG
111042,Det_PG
28308,Female (Extended Reach)
54587,Female
110981,Gain_His
111041,SPSH
68021,Female 
109078,VANSW
68244,Travel
68026,A 25-34
68025,A 18- 24 
68239,Technology
106094,BEMOMS
105945,LAPSED
105934,AtRisk
102051,Green Living
101729,CVS Influencer
99838,BK_M
99837,DTX_M
99836,DTX_F
99835,DTL_M
99834,DTL_F
99832,BK_F
99831,Acx_M
99830,Acx_F
68056,Household Income: (01K +
81804,No Children
81805,Children
68184,Relationships
68105,4YrCollege
93131,MM_Female
92886,Teen
72837,AFA_DEMO
72849,HIS_DEMO
86338,Bridal
88982,ValentinesDayMen
86830,OCR Optimized - M  21-34
20723,In-Market Auto
68092,Affinity:Health
84054,SELFEMPLOYED
84059,NewlyWeds
84060,NewParent
84062,Newhome
86318,ChilisFOOD
86340,Affluent
86339,Jewelery
68098,Affinity:PersonalFinance
68114,<25k
68023,A13-17
36753,ADOBE
37122,ADBQ4
64548,5Min
68029,A 55-64
68103,2 Yr College
67953,Affinity:Careers
68028,A 45-54
67932,Affinity:Automotive
67931,Affinity:Arts and Entertainment
67952,Affinity:Business
68027,A 35-44
68039,A 65+
72856,VI_DEMO
72854,MAND_DEMO
72852,KOR_DEMO
72847,OLD_DEMO
72844,NATAM_DEMO
72833,Viet_Demo
72629,Pregs2
20724,Video Start
56994,TravelIntent
26730,Tech
46660,Texas Republicans
60638,Top Audience
68231,Sports
27527,Travel Intender
37676,TVP
68234,StyleandFashion
36520,Toyota Trucks
70553,Sports/Outdoors
68198,Shopping 
68113,PhD Edu
33568,Snapple Custom Segment
34865,Senior Citizens (all genders) - Std & Branded Data
27525,Shoppers
26728,Sports
27529,Pet Owners
33576,Post Holiday (Deal) Shoppers
68189,Seasonal
51545,SLSLux
34366,M35:54_HHI_100K+
27528,Luxury Travel
39193,Male 150K+ (Branded & Standard)
55470,Levelwing_political
68109,Masters Edu
32479,Non-Alcoholic Beverage Purchase Intent
27523,Luxury Brand Shoppers
27526,Online Clothing Shoppers
68920,ITE
26727,Moms
66996,ITTECH
27532,Minivans
20722,Hispanics
68127,Household size: 4+
68123,Household size: 3
68019,Household Income: [5K - $60K
68030,Household Income: $61K - $75K
42042,Hispanics 30-54
54573,HomeDepot_F25-49_Dec&Gar
68079,Homeowner : Rent
68042,High School Education 
68078,Homeowner: Own
68096,Household size: 2
68036,Household Income: $76K - (00K
68080,Household size: 1
36517,Dodge Trucks
29982,Employed IT Professionals
20721,Genesis Campaigns 
43763,Ford 1_11
42803,Ford Q4
36521,Ford Trucks
37172,CLTRL II
37549,Credit_Card
68063,Children in Household: 0
37553,Credit Card 2
27521,Cooking Enthusiasts
31389,Chevy Strong
26729,CPG
35322,Compact / Economy In-market
48294,CCLV
27554,Credit Card User
37170,CLTRL
47129,Dell 
20785,Auto Interest 
68095,Affinity:Home and Garden
68101,Affinity:RealEstate
68090,Affinity:Food and Beverage
27355,Auto Enthusiast
68097,Affinity:Parenting and Kids
68099,Affinity:Pets
27531,Alcohol 
68180,Affinity:Recreation and Games 
68186,Sciences
68066,Children in Household: 1+
67955,Affinity:Environment
67954,Affinity:Education
54667,VidEnd
53011,IP_CMT
50875,CMCST 
50759,MZDA
49883,SMLBSNSS
49326,Quiznos- Secondary
48545,SDTA
48540,Maggiano
48319,ZAirTravel
47515,TXRepublicans
45942,Crystal Light
44329,AMI_BRU
43792,Dodge1_11
42173,Camaro
42046,Age 30-54
42045,Females 30-54
40759,Philanthropic
40353,Entertainment
40352,Travel
40351,Health & Fitness
40325,Fashion & Beauty
40324,Weather
40251,Food
